"command","parser_support","handler_present","handler_fn","default_tracked","tests_referencing","risk_hint","test_files"
"transpose","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"trendline","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"tscollect","generic","false","","false","0","low",""
"tstats","dedicated","true","handleTstatsCommand","true","3","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/debug-commands.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"typeahead","generic","false","","false","0","low",""
"typelearner","generic","false","","false","0","low",""
"typer","dedicated","true","handleTyperCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"union","dedicated","true","handleUnionCommand","true","3","low","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/new-handlers.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/debug-commands.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"uniq","generic","false","","false","0","low",""
"untable","dedicated","false","","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"walklex","generic","false","","false","0","low",""
"where","dedicated","true","handleWhereCommand","false","5","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/analyzer.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/command-handlers/extract.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/scope-aware.test.ts; c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/testing/commands/implemented.test.ts"
"x11","generic","false","","false","0","low",""
"xmlkv","dedicated","true","handleXmlkvCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"xmlunescape","dedicated","true","handleXmlunescapeCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"xpath","dedicated","true","handleXpathCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
"xyseries","dedicated","true","handleXyseriesCommand","false","1","high","c:/Users/dbroo/azdo/coresplorer/src/entities/field/lib/lineage/handler-coverage.test.ts"
